product_id,product_name,brand,suitable_shades,suitable_concerns,suitable_skin_types,coverage_score,longevity_score,lightweight_score,product_type,ingredient_level,compat_oily,compat_dry,compat_sensitive,compat_combination,review_count,avg_rating,price,product_link
-6248764546352340044,"[덱스 PICK] 오브제 내추럴 커버 파운데이션 13g (SPF50+, PA++++)",오브제,"['2호', '1호']",[],[],3.17,2.88,3.61,liquid,저자극,0.4272727272727273,0.7272727272727273,0.5772727272727273,0.5772727272727273,184,5.0,36800,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000161010&dispCatNo=1000001000700080011&trackingCd=Cat1000001000700080011_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%BF%A0%EC%85%98/%ED%8C%8C%EC%9A%B4%EB%8D%B0%EC%9D%B4%EC%85%98_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=7&tab=review
-3368872392521866595,[NEW/덱스PICK] 오브제 퍼펙트 커버 쿠션 15g,오브제,"['1호', '2호', '3호']","['spots', 'acne']","['dry', 'combination']",3.33,2.96,3.79,cushion,저자극,0.9180327868852459,0.9180327868852459,0.7680327868852459,0.9180327868852459,977,4.85,34900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000246705&dispCatNo=1000001000700080011&trackingCd=Cat1000001000700080011_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%BF%A0%EC%85%98/%ED%8C%8C%EC%9A%B4%EB%8D%B0%EC%9D%B4%EC%85%98_%EC%A0%84%EC%B2%B4_%EC%98%A4%EB%B8%8C%EC%A0%9C_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=3
-8405906270739231649,[맨즈파데1등] 그라펜 팁 스케치 멀티 커버 파운데이션 20ml,그라펜,"['21호', '23호', '27']",['spots'],[],3.14,2.48,3.86,liquid,저자극,0.9305555555555556,0.9305555555555556,0.7805555555555556,0.9305555555555556,500,4.96,32000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000222827&dispCatNo=1000001000700080011&trackingCd=Cat1000001000700080011_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%BF%A0%EC%85%98/%ED%8C%8C%EC%9A%B4%EB%8D%B0%EC%9D%B4%EC%85%98_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=10&tab=review
-2181001340154036445,[밀착쿠션/OY단독기획/전용퍼프2P 증정] 정샘물 맨 슬림핏 누더 쿠션 (기획/단품),정샘물,"['01', '02', '03', '27']","['spots', 'whitening', 'wrinkle']","['combination', 'dry', 'oily', 'sensitive']",3.23,2.67,3.82,cushion,저자극,0.46683937823834204,0.366839378238342,0.3168393782383421,0.41683937823834205,123,4.84,34000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000225422&dispCatNo=1000001000700080011&trackingCd=Cat1000001000700080011_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%BF%A0%EC%85%98/%ED%8C%8C%EC%9A%B4%EB%8D%B0%EC%9D%B4%EC%85%98_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=11&tab=review
-3253690939804763250,[올인원 완벽커버] 스웨거 톤 커버 파운데이션 스틱 [1호/2호],스웨거,"['1호', '2호']","['spots', 'pore']",['dry'],3.25,3.0,3.76,liquid,저자극,0.8571428571428572,0.7071428571428572,0.8571428571428572,0.7821428571428573,261,4.93,24900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000213066&dispCatNo=1000001000700080011&trackingCd=Cat1000001000700080011_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%BF%A0%EC%85%98/%ED%8C%8C%EC%9A%B4%EB%8D%B0%EC%9D%B4%EC%85%98_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=24&tab=review
-3129785851270160360,[착붙쿠션] 그라펜 핸섬 커버쿠션 2종 택1,그라펜,"['1호', '3호']",['spots'],"['dry', 'combination', 'oily']",3.35,3.14,3.62,cushion,저자극,0.8611111111111112,0.7111111111111111,0.7111111111111111,0.7861111111111112,427,4.72,33900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000129149&dispCatNo=1000001000700080011&trackingCd=Cat1000001000700080011_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%BF%A0%EC%85%98/%ED%8C%8C%EC%9A%B4%EB%8D%B0%EC%9D%B4%EC%85%98_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=13&tab=review
5630875937233373137,[피부착붙컬러] 그라펜 매치업 파운데이션 40ml 단품/기획,그라펜,"['23', '21', '27']","['acne', 'spots']",[],3.28,2.69,3.56,liquid,저자극,0.6761194029850747,0.6261194029850746,0.6261194029850746,0.6511194029850746,225,4.76,24000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000142173&dispCatNo=1000001000700080011&trackingCd=Cat1000001000700080011_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%BF%A0%EC%85%98/%ED%8C%8C%EC%9A%B4%EB%8D%B0%EC%9D%B4%EC%85%98_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=17&tab=review
4758877897590895467,"[하루종일 착붙] 원오브뎀 드 뗑 쿠션 12g(1호, 2호)",원오브뎀,"['001', '002', '2호', '1호']","['spots', 'pore', 'acne', 'redness']","['dry', 'oily', 'sensitive', 'combination']",3.24,2.49,3.81,cushion,저자극,0.5473282442748091,0.8473282442748091,0.8473282442748091,0.6973282442748091,1168,4.98,32000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000206573&dispCatNo=1000001000700080011&trackingCd=Cat1000001000700080011_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%BF%A0%EC%85%98/%ED%8C%8C%EC%9A%B4%EB%8D%B0%EC%9D%B4%EC%85%98_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=12&tab=review
4620368789614616211,다슈 맨즈 멀티 커버 스틱 파운데이션 ( 단품/기획 ),다슈,"['2호', '1호', '3호']","['spots', 'whitening', 'redness']","['dry', 'oily', 'combination']",3.33,2.0,4.5,liquid,저자극,0.5052631578947369,0.4552631578947368,0.4552631578947368,0.48026315789473684,16,4.94,29000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000229158&dispCatNo=1000001000700080011&trackingCd=Cat1000001000700080011_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%BF%A0%EC%85%98/%ED%8C%8C%EC%9A%B4%EB%8D%B0%EC%9D%B4%EC%85%98_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=5&tab=review
6013888070848011925,다슈 맨즈 멀티 커버 스틱 파운데이션 12g 뉴트럴베이지 기획(+미니 톤 컨트롤 로션),다슈,"['23', '21', '2호', '3호', '1호']","['spots', 'acne']",[],3.33,2.6,3.6,liquid,저자극,0.5052631578947369,0.4552631578947368,0.4552631578947368,0.48026315789473684,636,4.78,29000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000182290&dispCatNo=1000001000700080011&trackingCd=Cat1000001000700080011_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%BF%A0%EC%85%98/%ED%8C%8C%EC%9A%B4%EB%8D%B0%EC%9D%B4%EC%85%98_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=20&tab=review
-3518493282311289377,다슈 맨즈 아쿠아 매트 비비 쿠션 (리필용),다슈,['23호'],['pore'],[],3.75,2.0,3.5,cushion,저자극,0.8333333333333334,0.5333333333333334,0.5333333333333334,0.6833333333333333,22,4.91,18000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000143169&dispCatNo=1000001000700080011&trackingCd=Cat1000001000700080011_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%BF%A0%EC%85%98/%ED%8C%8C%EC%9A%B4%EB%8D%B0%EC%9D%B4%EC%85%98_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=18&tab=review
-6469769340565757650,다슈 맨즈 아쿠아 매트 비비 쿠션 15g,다슈,['23호'],"['spots', 'whitening', 'acne']",['dry'],3.2,4.0,3.67,cushion,저자극,0.84375,0.54375,0.54375,0.69375,60,4.58,21000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000131803&dispCatNo=1000001000700080011&trackingCd=Cat1000001000700080011_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%BF%A0%EC%85%98/%ED%8C%8C%EC%9A%B4%EB%8D%B0%EC%9D%B4%EC%85%98_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=16&tab=review
3417463243640467318,다슈 맨즈 아쿠아 매트 비비쿠션 (본품+리필),다슈,['23호'],"['acne', 'wrinkle', 'spots', 'whitening']","['oily', 'dry']",3.0,3.0,4.0,cushion,저자극,0.8333333333333334,0.5333333333333334,0.5333333333333334,0.6833333333333333,8,4.62,30000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000143170&dispCatNo=1000001000700080011&trackingCd=Cat1000001000700080011_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%BF%A0%EC%85%98/%ED%8C%8C%EC%9A%B4%EB%8D%B0%EC%9D%B4%EC%85%98_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=19&tab=review
